Ano,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez
2022,5.7127,5.5349,5.1881,5.1314,4.7158,,,,,,,
2021,5.0968,5.2714,5.3815,5.6296,5.6234,5.2701,5.0874,5.1,5.2474,5.2576,5.451,5.4199
2020,4.0949,4.1622,4.3163,4.7362,5.2579,5.8229,5.1883,5.3491,5.3852,5.2728,5.6172,5.4854
2019,3.909,3.7049,3.7155,3.8344,3.873,4.0031,3.8813,3.7463,4.0188,4.0616,4.1488,4.1831
2018,3.3182,3.1963,3.2208,3.2859,3.4105,3.6753,3.7738,3.8745,3.9134,4.1879,3.7332,3.7924
2017,3.383,3.2034,3.0779,3.1629,3.1269,3.1011,3.2836,3.1899,3.1976,3.1255,3.1572,3.2834
2016,3.8711,3.9885,3.7116,3.5276,3.5041,3.4768,3.2656,3.1672,3.3326,3.1864,3.4446,3.383
2015,2.6122,2.8392,3.2264,3.0681,2.9894,3.1036,3.1532,3.4761,3.8599,3.8344,3.8023,3.8703
2014,2.347,2.3924,2.3638,2.2257,2.2166,2.2347,2.2195,2.269,2.3401,2.4316,2.6136,2.6717
2013,2.0374,1.96,1.9749,1.979,2.0233,2.1367,2.2548,2.3434,2.2785,2.1818,2.3289,2.3354
2012,1.7853,1.7158,1.8006,1.8364,1.9947,2.0443,2.0338,2.0234,2.0139,2.0382,2.0629,2.084
2011,1.6843,1.6682,1.6692,1.5776,1.6328,1.596,1.5743,1.5956,1.7106,1.7376,1.7649,1.8609
2010,1.7711,1.867,1.7644,1.7483,1.7967,1.7971,1.769,1.7716,1.7169,1.6604,1.7198,1.6988
2009,2.3803,2.268,2.3012,2.1992,2.0762,1.9458,1.942,1.8385,1.8087,1.7037,1.729,1.7557
2008,1.745,1.7541,1.6947,1.6822,1.6601,1.6368,1.591,1.6389,1.8125,2.1551,2.28,2.369
2007,2.1407,2.0896,2.0909,2.0231,1.9922,1.9097,1.8684,2.0043,1.9031,1.8078,1.7378,1.7959
2006,2.2747,2.1375,2.1215,2.1426,2.1774,2.2845,2.213,21480,2.154,2.1419,2.1537,2.147
2005,2.7074,2.5762,2.7621,2.5971,2.4715,2.4455,2.3427,2.3422,2.3012,2.2511,2.199,2.2957
2004,2.8126,2.9085,2.9013,2.9064,3.0982,3.138,3.0215,3.0235,2.9042,2.8623,2.7991,2.7508
2003,3.2983,3.658,3.3958,3.1154,2.9306,2.857,2.8554,2.993,2.8898,2.8268,2.9418,2.9293
2002,2.3705,2.438,2.3542,2.318,2.5117,2.7181,2.8455,3.1912,3.1506,3.8567,3.6797,3.7342
2001,1.9475,1.9812,2.0864,2.1573,2.3384,2.4079,2.5538,2.5005,2.6986,2.779,2.5299,2.384
2000,1.7997,1.7764,1.7431,1.7833,1.8382,1.8079,1.8106,1.8056,1.8438,1.8764,1.9441,1.9678
1999,1.4659,1.8984,1.8825,1.6688,1.657,1.7892,1.8281,1.8711,1.8779,1.9794,1.9331,1.8501
1998,1.1206,1.1276,1.1334,1.1407,1.1472,1.1551,1.1615,1.1716,1.1798,1.1886,1.1915,1.2052
1997,1.0426,1.0495,1.0554,1.0606,1.0678,1.0745,1.0808,1.0873,1.0927,1.0994,1.1082,1.1143
1996,0.97827,0.9829,0.9868,0.9899,0.9957,1.0015,1.0062,1.0122,1.0192,1.0251,1.0305,1.0389
1995,0.847,0.837,0.884,0.905,0.891,0.909,0.926,0.942,0.953,0.958,0.9627,0.9677
1994,381.53,532.66,755.52,1104.88,1508.82,2230,0.925,0.906,0.855,0.835,0.838,0.851
1993,14080.5,18156.75,22183,28270,36445.4,47413,62136,80851,108.944,149.26,199.745,270.065
1992,1179.05,1467.45,1768.45,2196,2612.8,3144.1,3789.8,4620.45,5697.4,7118.1,8872.3,11066.95
1991,190.47,221.56,229.15,251.37,272.69,296.06,326.53,370.09,425.87,577.23,731.57,945.85
1990,13.735,24.345,38.388,46.853,51.239,55.962,66.531,71.982,75.493,92.477,118.24,151.31
1989,859.25,1,1,1,1.1,1.348,1.882,2.436,3.219,4.338,6.048,9.177
1988,77.277,90.538,106.8,125.15,148.39,177.05,213.91,264.97,321.35,403.69,519.6,661.37
1987,15.589,17.985,20.729,23.82,30.874,38.097,44.918,46.931,49.719,53.016,58.026,67.423
1986,11170,12985,13.84,13.84,13.84,13.84,13.84,13.84,13.84,13.84,14.09,14.452
1985,3318,3802,4161,4680,5200,5710,6200,6700,7455,8135,8870,9855
1984,1013,1134,1267,1376,1492,1649,1809,1961,2177,2449,2698,3008
1983,260.99,286.54,396.03,434.45,474.29,515.31,565.96,641.02,701,780,856,940
1982,129.97,136.75,143.59,150.62,158.36,167.04,176.28,189.9,202.29,214.68,229.6,244.86
1981,67.13,70.51,73.38,79.86,82.94,88.14,93.2,99.11,104.64,110.67,116.91,125.42
1980,43.89,45.31,46.8,49.06,50.135,51.645,53.31,54.805,56.74,58.48,61.355,64.21
1979,21.26,22.25,22.72,23.79,24.775,25.655,26.115,26.81,29.215,30.415,32.04,42.53
1978,16.25,16.495,16.63,17.265,17.37,18.03,18.41,18.685,19.25,19.64,20.05,20.47
1977,12.59,12.87,13.055,13.365,13.7,14.35,14.56,14.81,15.02,15.275,15.535,15.8
1976,9.245,9.42,9.6,10.27,10.55,10.65,10.955,11.17,11.37,11.62,12.055,12.345
1975,7.55,7.62,7.735,7.845,7.975,8.07,8.13,8.285,8.52,8.67,8.775,9.07
1974,6.22,6.34,6.455,6.555,6.555,6.68,6.885,7.02,7.13,7.22,7.325,7.435
1973,6.215,6.03,6.03,6.1,6.1,6.1,6.13,6.13,6.13,6.16,6.16,6.22
1972,5.635,5.785,5.785,5.845,5.915,5.915,5.965,5.965,6.025,6.095,6.13,6.18
1971,4.95,5.03,5.03,5.11,5.195,5.285,5.285,5.405,5.505,5.505,5.635,5.635
1970,4.35,4.41,4.41,4.49,4.49,4.56,4.62,4.65,4.65,4.72,4.81,4.86
